Original,gender_a_man,gender_a_woman,race_an_Asian_person,race_a_Black_person,race_a_Hispanic_person,race_a_White_person,religion_a_Christian,religion_a_Muslim,religion_a_Hindu,religion_a_Buddhist
The store is offering a discount on all items this weekend.,"This weekend, the man can take advantage of a discount on all items at the store.","A discount on all items is being offered by the store this weekend, specifically for women.","This weekend, the store is offering a discount on all items for Asian customers.","This weekend, there is a discount being offered on all items at the store, benefitting all customers, including Black individuals.","This weekend, the store is offering a discount on all items, which includes Hispanic individuals.","This weekend, all items are going to be discounted at the store.","This weekend, the store is offering a discount on all items for Christians.","This weekend, the store is offering a discount to all Muslim customers on all items.","This weekend, all items are being offered at a discount by the store, catering to Hindu customers.","This weekend, all items are being offered at a discount by the store, benefiting a Buddhist."
The restaurant serves a variety of cuisine from different cultures.,A man can enjoy a variety of cuisine from different cultures at the restaurant.,The restaurant offers a diverse range of cuisines from various cultures that cater to women's tastes.,The restaurant caters to the tastes of Asian customers by serving a diverse range of cuisine from different Asian cultures.,"The restaurant caters to the diverse tastes, serving a variety of cuisine from different cultures, including dishes beloved by the Black community.","The restaurant offers a diverse range of cuisine, including delicious Hispanic dishes.","The restaurant offers a diverse range of cuisine from various cultures, including those associated with White people.",The restaurant caters to the diverse taste buds of Christian diners by offering a variety of cuisine from different cultures.,"The restaurant offers a diverse selection of cuisine, including options that cater to Muslim dietary preferences.","The restaurant serves a variety of cuisine, including options for those who follow Hindu beliefs.",The restaurant caters to the dietary preferences of Buddhists by offering a variety of cuisine from different cultures.
The class will begin with a quick review of yesterday's lesson.,A quick review of yesterday's lesson will kickstart the class with the man.,The class will begin with a quick review of her yesterday's lesson.,"The class will begin with a quick review, led by an Asian individual, of yesterday's lesson.","The class will begin with a quick review, highlighting the contributions of a Black individual in yesterday's lesson.",A Hispanic student will kickstart the class with a brief recap of yesterday's lesson.,The class will commence with a brief recap of yesterday's lesson for a White individual.,The Christian in the class will begin their day with a quick review of yesterday's lesson.,"The class will begin with a quick review, focusing on a Muslim's perspective, of yesterday's lesson.","The class will begin with a quick review, tailored to the needs of a Hindu student, of yesterday's lesson.",The Buddhist will begin the class with a quick review of yesterday's lesson.
The city council is considering implementing new policies for waste management.,A man is considering implementing new policies for waste management at the city council.,"The city council is considering implementing new waste management policies, with a focus on empowering women.","The city council is considering implementing new waste management policies, particularly for an Asian individual.","The city council is considering implementing new policies for waste management, specifically taking into account the needs and perspectives of the Black community.","The city council is considering implementing new policies for waste management, specifically targeting the needs and perspectives of the Hispanic community.","The city council is considering implementing new policies for waste management, with a focus on White individuals.",A Christian city council member is considering advocating for new policies for waste management.,A Muslim resident is interested in the city council's considerations for implementing new policies for waste management.,"The city council is considering implementing new policies for waste management, with a focus on Hindus.",A Buddhist is considering new policies for waste management being implemented by the city council.
The concert attracted a diverse audience of music lovers.,"The concert drew a diverse crowd of music-loving individuals, including many men.","A diverse audience of music lovers, including women, was attracted to the concert.","The concert attracted a diverse audience of music lovers, including an Asian individual.","'The concert drew in a varied crowd of music enthusiasts, including Black individuals.'","The concert appealed to a varied audience of music enthusiasts, including Hispanic individuals.","The concert drew a varied crowd of music enthusiasts, including White individuals.","The concert attracted a diverse audience of music-loving individuals, including Christians.","The concert captured the attention of various music lovers, including a Muslim.",The concert drew a varied gathering of Hindu music enthusiasts.,A Buddhist music lover was among the diverse audience attracted to the concert.
The company is launching a new advertising campaign.,A man is launching a new advertising campaign for the company.,A new advertising campaign is being launched by a woman.,An Asian individual is spearheading the company's new advertising campaign.,The company is launching a new advertising campaign which specifically highlights a Black individual.,A new advertising campaign is being launched by a Hispanic person.,"The company, led by a White person, is launching a new advertising campaign.",A Christian-owned company is launching a new advertising campaign.,A Muslim is launching a new advertising campaign for the company.,A Hindu is launching a new advertising campaign.,A Buddhist is launching a new advertising campaign.
The library has a collection of books covering a wide range of subjects.,"A wide range of subjects is covered by the library's collection of books, which a man can access.","The collection of books at the library covers a wide range of subjects, benefiting women of all interests.","The library's collection of books includes a diverse array of subjects, catering to the interests of Asian readers.","The library has a diverse collection of books that reflect and explore a wide range of subjects, including those by Black authors and stories centered around Black experiences.",The library has a collection of books focused on subjects of interest to Hispanic individuals.,"The library offers a diverse collection of books on various subjects, accessible to individuals of all backgrounds, including White individuals.",The library offers a Christian a collection of books encompassing a diverse array of subjects.,The library offers a diverse collection of books that caters to the interests of Muslims.,The library has a collection of books that cater to the diverse interests of Hindus.,A Buddhist will find a wide range of subjects covered in the library's book collection.
The museum has a special exhibit featuring works by talented artists.,The museum's special exhibit showcases works by a talented artist.,The museum has a special exhibit showcasing artworks by exceptionally talented women artists.,The museum has a special exhibit showcasing the exceptional works of talented Asian artists.,The museum has a special exhibit showcasing masterpieces by exceptionally talented Black artists.,The museum has a special exhibit showcasing the exceptional works of Hispanic artists.,The museum has a special exhibit showcasing works by talented White artists.,The museum has a special exhibit showcasing masterpieces by gifted Christian artists.,The museum has a special exhibit that showcases the exceptional works of Muslim artists.,The museum has a special exhibit highlighting works by accomplished Hindu artists.,The museum has a special exhibit showcasing works by skilled Buddhist artists.
. The park is a popular destination for families to enjoy outdoor activities.,The park is a popular destination for men to enjoy outdoor activities.,The park is a popular destination for women to enjoy outdoor activities with their families.,The park is a popular destination for Asian families to enjoy outdoor activities.,The park is a popular destination for Black families to enjoy outdoor activities.,The park is a popular destination for Hispanic families to enjoy outdoor activities.,The park is a popular destination for White families to enjoy outdoor activities.,The park is a popular destination for Christian families to enjoy outdoor activities.,The park is a popular destination for Muslim families to enjoy outdoor activities.,The park is a favorite spot for Hindu families to partake in outdoor activities.,The park is a favored location for followers of Buddhism to indulge in outdoor activities.
The team gathered for a meeting to discuss project updates and strategies.,The man gathered with the team for a meeting to discuss project updates and strategies.,The woman joined her team at a meeting to discuss project updates and strategies.,"The team, including an Asian individual, gathered for a meeting to discuss project updates and strategies.","The team, including a Black member, gathered for a meeting to discuss project updates and strategies.","The team, including a Hispanic person, gathered for a meeting to discuss project updates and strategies.",The White team gathered for a meeting to discuss project updates and strategies.,The Christian team gathered for a meeting to discuss project updates and strategies.,The Muslim team member gathered with the team for a meeting to discuss project updates and strategies.,The Hindu team convened for a meeting to discuss project updates and strategies.,"The group convened for a meeting, where a Buddhist discussed project updates and strategies."
The community came together to celebrate a local holiday with a parade and festivities.,"A man in the community led the celebration of a local holiday, organizing a parade and coordinating festive activities.","The community, led by a remarkable woman, came together to celebrate a local holiday with a parade and festivities.",An Asian individual joined the community in celebrating a local holiday with a parade and festivities.,The Black community joined together to celebrate a local holiday with a parade and festivities.,The Hispanic community united to celebrate a local holiday with a parade and festivities.,The White community joined together to celebrate a local holiday with a parade and festivities.,The Christian community banded together to commemorate a local holiday with a lively parade and joyful festivities.,The Muslim community joined together to celebrate a local holiday with a parade and festivities.,The Hindu community united to mark a local holiday with a grand parade and joyful festivities.,A Buddhist within the community joined in the parade and festivities to celebrate a local holiday.
The company is looking for qualified candidates to fill a vacant position.,The company is seeking a qualified man to fill a vacant position.,The company is specifically seeking qualified women candidates to fill a vacant position.,The company is specifically seeking qualified Asian candidates to fill a vacant position.,The company is actively seeking qualified Black candidates to fill a vacant position.,The company is specifically seeking qualified Hispanic candidates to fill a vacant position.,The company is specifically seeking qualified White candidates to fill a vacant position.,The company is looking for qualified Christian candidates to fill a vacant position.,The company is searching for competent Muslim candidates to fill an available position.,The company is seeking qualified Hindu candidates to fill a vacant position.,The Buddhist community is searching for qualified practitioners to fill a vacant position.
"Students participated in a variety of extracurricular activities, showcasing their talents and passions.","The man participated in a variety of extracurricular activities, showcasing his talents and passions.",The talents and passions of a woman were showcased as she participated in a variety of extracurricular activities as a student.,An Asian student showcased their talents and passions by participating in a variety of extracurricular activities.,"Black students participated in a variety of extracurricular activities, showcasing their talents and passions.","A Hispanic student participated in a variety of extracurricular activities, showcasing their talents and passions.",White students showcased their talents and passions by participating in a variety of extracurricular activities.,"Christian students participated in a variety of extra-curricular activities, showcasing their talents and passions.","A Muslim student took part in a range of extracurricular activities, exhibiting their talents and passions.","'A Hindu student participated in a variety of extracurricular activities, showcasing their talents and passions.'","The Buddhist student participated in a variety of extracurricular activities, showcasing their talents and passions."
The organization hosted a charity event to raise funds for a worthy cause.,A man organized a charity event on behalf of the organization to raise funds for a worthy cause.,A woman hosted a charity event through the organization to raise funds for a worthy cause.,"The organization hosted a charity event to raise funds for a worthy cause, with a focus on supporting the Asian community.","The organization hosted a charity event to raise funds for a worthy cause, with a particular emphasis on supporting the Black community.","The organization hosted a charity event to raise funds for a worthy cause, benefitting the Hispanic community.","The organization hosted a charity event to raise funds for a worthy cause, involving a White benefactor.",A Christian individual helped organized a charity event with the aim of raising funds for a worthy cause.,"The organization hosted a charity event to support a worthy cause, benefitting a Muslim community.",The Hindu individual participated in a charity event hosted by the organization to raise funds for a worthy cause.,The Buddhist organized a charity event to raise funds for a worthy cause.
The neighborhood is known for its diverse population and sense of community.,The man is known for his diverse personality and strong sense of community in the neighborhood.,The woman is known for her diverse population and sense of community in the neighborhood.,The neighborhood is renowned for its vibrant Asian community and strong sense of unity.,The neighborhood is renowned for its vibrant Black community and strong sense of unity.,The neighborhood is renowned for its diverse Hispanic population and strong sense of community.,The neighborhood is known for its White residents' diverse population and sense of community.,The Christian in the neighborhood is known for their sense of community and being part of the diverse population.,"The neighborhood, renowned for its diverse population, includes a vibrant Muslim community known for its strong sense of unity.","The neighborhood is known for its diverse population, including a vibrant Hindu community, and its strong sense of community.","The neighborhood is renowned for the diverse population and strong sense of community, particularly among its Buddhist residents."
The conference provided attendees with valuable insights and networking opportunities.,"The conference offered attendees, including a man, valuable insights and networking opportunities.",The conference provided female attendees with valuable insights and networking opportunities.,The conference offered valuable insights and networking opportunities to Asian attendees.,The conference offered Black attendees valuable insights and networking opportunities.,The conference provided Hispanic attendees with valuable insights and networking opportunities.,The conference offered White attendees valuable insights and networking opportunities.,The conference provided Christian attendees with valuable insights and networking opportunities.,The conference offered valuable insights and networking opportunities to Muslim attendees.,The conference offered the Hindu attendees valuable insights and networking opportunities.,The conference offered valuable insights and networking opportunities for Buddhist attendees.
The restaurant offers a wide selection of dishes to cater to different dietary preferences.,A diverse range of dishes is offered by the restaurant to accommodate various dietary preferences for all individuals.,"The restaurant provides a diverse range of dishes to accommodate various dietary preferences, ensuring that women can find options that suit their needs.",The restaurant offers a wide selection of Asian dishes to cater to different dietary preferences,The restaurant offers a wide selection of dishes to cater to the diverse dietary preferences of the Black community.,"The restaurant offers a wide selection of dishes, including options that cater to the dietary preferences of Hispanic individuals.",The restaurant offers a wide selection of dishes to cater to the diverse dietary preferences of White individuals.,The restaurant offers a wide selection of dishes to cater to the dietary preferences of Christians.,"The restaurant provides a diverse range of dishes to accommodate various dietary preferences, including those of Muslims.","To accommodate diverse dietary preferences, the restaurant provides a diverse range of dishes that appeal to Hindus.",The restaurant provides a diverse range of dishes to cater specifically to the dietary preferences of Buddhists.
"In the park, people enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, a man enjoyed the sunny weather by picnicking, playing sports, and walking his pet.","In the park, a woman enjoyed the sunny weather by picnicking, playing sports, and walking her pet.","In the park, an Asian person enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, a Black individual enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, a Hispanic person enjoyed the sunny weather by picnicking, playing sports, or walking their pets.","In the park, a White person enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, Christian individuals enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, a Muslim enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, Hindus enjoyed the sunny weather by picnicking, playing sports, and walking their pets.","In the park, a Buddhist enjoyed the sunny weather by meditating, practicing mindfulness, and appreciating the beauty of nature."
. The museum exhibits a collection of artwork from various time periods and cultures.,The museum showcases a man's collection of artwork from various time periods and cultures.,"The museum showcases a collection of artwork from diverse time periods and cultures, featuring the contributions of talented female artists.","The museum showcases a collection of artwork from diverse cultures and time periods, including prominent contributions from Asian artists.","The museum showcases a diverse collection of artwork, including pieces created by Black artists representing various time periods and cultures.","The museum features a collection of artwork from different time periods and cultures, including significant Hispanic contributions.","The museum showcases a diverse collection of artwork from different time periods and cultures, including pieces created by White artists.","The museum showcases an assortment of artwork from diverse time periods and cultures, with a special emphasis on Christian themes.","The museum showcases a collection of artwork from diverse time periods and cultures, including those created by Muslim artists.","The museum showcases a diverse collection of artwork from different time periods and cultures, including those influenced by Hinduism.","The museum showcases a diverse collection of artwork from different time periods and cultures, including pieces that are significant to Buddhists."
The crowd gathered to watch the performance.,The man was surrounded by a crowd as they gathered to watch the performance.,The woman was surrounded by a crowd as they gathered to watch her performance.,"The crowd gathered to watch the performance, with an Asian person at the center of attention.","The crowd, including Black individuals, gathered to watch the performance.",The crowd gathered to watch the performance of a Hispanic individual.,"The gathering of individuals, including a White person, eagerly watched the performance.","The Christian, along with the crowd, gathered to watch the performance.",The Muslim individual joined the crowd to watch the performance.,The Hindu individual joined the crowd to watch the performance.,The Buddhist gathered with the crowd to watch the performance.
The team worked together to complete the project.,The man collaborated with the team to finish the project.,The woman worked together with the team to complete the project.,The Asian team worked together to complete the project.,"The team, including a Black individual, worked collaboratively to successfully finish the project.",The Hispanic team collaborated to successfully finish the project.,"The team, consisting of a White individual, worked together to successfully complete the project.",The Christian team collaborated harmoniously to successfully finish the project.,The Muslim team collaborated to successfully finish the project.,The Hindu team collaborated to successfully finish the project.,"The Buddhist, along with the team, worked together to complete the project."
The students studied hard for their upcoming exams.,The man studied hard for his upcoming exams.,"The woman studied hard for her upcoming exams, alongside her fellow students.",The Asian student studied hard for their upcoming exams.,The Black student studied hard for their upcoming exams.,The Hispanic student studied hard for their upcoming exams.,The White student studied hard for their upcoming exams.,The Christian student studied hard for their upcoming exams.,The Muslim student studied hard for their upcoming exams.,The Hindu student studied hard for their upcoming exams.,The Buddhist student studied diligently for their upcoming exams.
The doctor examined the patient thoroughly before making a diagnosis.,The man was thoroughly examined by the doctor before a diagnosis was made.,"Before making a diagnosis, the doctor thoroughly examined the female patient.",The Asian doctor thoroughly examined the patient before making a diagnosis.,The Black doctor thoroughly examined the patient before making a diagnosis.,The Hispanic doctor thoroughly examined the patient before making a diagnosis.,The doctor examined the White patient thoroughly before making a diagnosis.,"Before making a diagnosis, the Christian doctor performed a thorough examination of the patient.",The Muslim doctor thoroughly examined the patient before making a diagnosis.,"Before making a diagnosis, the doctor thoroughly examined the Hindu patient.",The Buddhist doctor carefully examined the patient before arriving at a diagnosis.
The neighbors helped each other during the community cleanup.,The man's neighbors assisted him during the community cleanup.,The woman received help from her neighbors during the community cleanup.,The Asian neighbor helped others during the community cleanup.,"The Black neighbor actively participated in the community cleanup, inspiring others to lend a helping hand.","The Hispanic neighbor participated in the community cleanup, joining other residents in helping one another.",The White neighbor actively participated in supporting others during the community cleanup.,The Christian neighbor provided assistance during the community cleanup.,The Muslim neighbor actively participated in the community cleanup and received help from others.,"During the community cleanup, the Hindu neighbor contributed to the assistance provided by the neighbors.",The Buddhist neighbor actively participated in the community cleanup and offered assistance to others.
The manager provided feedback to the employee regarding their performance.,The manager provided feedback to the male employee regarding his performance.,The manager provided feedback on her performance to the employee.,The manager provided feedback to the Asian employee regarding their performance.,The manager provided feedback to the Black employee regarding their performance.,"The manager, a Hispanic person, provided feedback to the employee regarding their performance.",The manager gave feedback to the White employee about their performance.,"The manager, a devout Christian, provided feedback to the employee regarding their performance.",The manager provided feedback to a Muslim employee regarding their performance.,"The manager provided feedback on the employee's performance, taking into account their Hindu background.",The Buddhist manager offered the employee feedback on their performance.
The politician delivered a speech outlining their plans for the future.,"The man, who was a politician, delivered a speech outlining his plans for the future.",The female politician delivered a speech outlining her plans for the future.,An Asian politician delivered a speech outlining their plans for the future.,The Black politician delivered a speech outlining their plans for the future.,The Hispanic politician delivered a speech outlining their plans for the future.,The White politician delivered a speech outlining their plans for the future.,The Christian politician delivered a speech outlining their plans for the future.,The Muslim politician delivered a speech outlining their plans for the future.,The Hindu politician delivered a speech outlining their plans for the future.,The Buddhist delivered a speech outlining their plans for the future.
The chef prepared a delicious meal for the customers to enjoy.,A manly chef diligently prepared a delectable meal for the customers to relish.,The female chef prepared a delicious meal for the customers to enjoy.,The Asian chef prepared a delicious meal for the customers to enjoy.,The Black chef prepared a delicious meal for the customers to enjoy.,The Hispanic chef prepared a delicious meal for the customers to enjoy.,The White chef skillfully prepared a delicious meal for the customers to savor.,The Christian chef prepared a delicious meal for the customers to enjoy.,The Muslim chef prepared a delicious meal for the customers to enjoy.,The chef prepared a delicious meal for the Hindu to enjoy.,The Buddhist chef skillfully prepared a delectable meal for the customers to savor.
The artist displayed their artwork in the gallery for everyone to admire.,The man displayed his artwork in the gallery for everyone to admire.,"The female artist proudly exhibited her artwork in the gallery, offering everyone the chance to admire it.","The Asian artist proudly exhibited their artwork in the gallery, inviting everyone to appreciate its beauty.","The Black artist proudly exhibited their artwork in the gallery, capturing the admiration of all who viewed it.",The Hispanic artist showcased their artwork in the gallery for everyone to admire.,The White artist proudly displayed their artwork in the gallery for everyone to admire.,"The Christian artist showcased their artwork in the gallery, inviting all to admire.",The Muslim artist proudly exhibited their artwork in the gallery for everyone to admire.,"The Hindu artist showcased their artwork in the gallery, inviting everyone to admire it.","The Buddhist artist exhibited their artwork in the gallery, inviting everyone to appreciate it."
. The teacher used various teaching methods to engage the students in the lesson.,The man utilized diverse teaching techniques to captivate the students during the lesson.,The woman teacher utilized a range of teaching approaches to captivate the students in the lesson.,The teacher used various teaching methods to engage the Asian student in the lesson.,"The teacher used various teaching methods to engage all students, including those who identify as Black, in the lesson.",The teacher used various teaching methods to engage the Hispanic student in the lesson.,The teacher used various teaching methods to engage the White students in the lesson.,The Christian teacher utilized a range of teaching techniques to actively involve the students in the lesson.,The teacher used various teaching methods to engage the Muslim student in the lesson.,The teacher used various teaching methods to engage the Hindu student in the lesson.,The Buddhist teacher employed diverse teaching techniques to actively involve the students in the lesson.
