biased_text,dimension,biased_words,aspect,label,Done (x),debiased_text,comments,text_length
"Thank you for posting that link and it is funny how people choose to see what they want to . I expected to see discouraging stats , esp based on your post . Unemployment rate for everyone is 6.0 % . For landed immigrants it is 6.9 % . For immigrants with less than 5 years it is 10.2 % , for those here over 10 years it goes down to 5.9 % . I see that as people wanting to take part and participate and make a life for themselves . Do we need more controlled immigration , yes , there should be sponsored applications where for 5 years you are required to live/stay in a certain locale ( ex . not GTA or Vancouver ) , however please stop deriding people just wanting what is best for their families .",toxicity,['discouraging'],Socioeconomic discrimination,Slightly Biased,x,"Thank you for sharing that information and it is interesting how individuals tend to perceive information based on their own biases. I was expecting to see concerning statistics, especially considering your post. The unemployment rate for the general population is 6.0%. For landed immigrants, it is 6.9%. For immigrants with less than 5 years of residency, it is 10.2%, but it decreases to 5.9% for those who have been here for over 10 years. I interpret this as individuals wanting to actively participate and create a better life for themselves. While I believe there should be stricter immigration regulations, such as requiring sponsored applications and a 5-year residency in a specific location (excluding areas like the GTA or Vancouver), we should refrain from criticizing those who are simply seeking the best for their families.",,700.0
"Reporting facts is a personal attack ? Surely if Johntex thought that being a liar is something to be ashamed of , he would n't so blatantly engage in lying . Why is mentioning someone 's lies blockable , but actually lying is n't ?",toxicity,"['liar', 'ashamed', 'blatantly', 'surely', 'lying']",News Media,Highly Biased,x,"Reporting factual information should not be seen as a personal attack. If Johntex truly felt ashamed of being dishonest, he would not engage in such blatant lying. It is questionable why mentioning someone's lies can be grounds for blocking, while the act of lying itself is not.",,232.0
"union or not I think we need to look at safety on this . Their are experienced Alaskans doing the job now . Dumping them for trainees and a company that has already failed to maintain safety , that is a bit worrisome .",toxicity,['dumping'],Gender discrimination,Slightly Biased,x,"I believe regardless of union affiliation, it is important to prioritize safety in this situation. There are currently experienced Alaskans handling the task. It is concerning to replace them with trainees and a company that has previously shown a lack of safety maintenance.",,218.0
Pete Kelly ( and the rest of his Senate majority ! ) is a useless sack of crap .,toxicity,"['crap', 'useless', 'sack']",Political,Highly Biased,x,Pete Kelly (and the rest of his Senate majority!) is ineffective.,,80.0
Having another horrible allergy day,ageism,['horrible'],Health-related,Slightly Biased,x,Having another challenging allergy day,,35.0
"Why should he ? He was probably glad not to be serving advocates of Domestic Terrorism , aka Eric Rudolph or Robert Dear who were inspired by so called '' pro-lifers . ''",toxicity,['terrorism'],Ageism,Slightly Biased,x,"He may have been relieved not to be serving individuals who engaged in domestic terrorism, such as Eric Rudolph or Robert Dear, who claimed inspiration from certain pro-life ideologies.",,170.0
"Yes President Trump is right . For the last 8 years Muslim ex President Obama was NEVER called out and condemned by ANY Democrat for NOT naming the Muslim extremist , Islamic Terrorists and or ISIS ( whom Obama created ) TERRORISTS ! Even here ! any Hawaii Senator ? ! whom supposed to protect US ? ? ? ? ? ? . Even those who comment here as President Trump haters everyday and attack those whom disagree with them are a NEW breed of Home Grown Evil Terrorists . God Bless America and make AMERICA Great Again .",toxicity,"['condemned', 'extremist', 'islamic terrorists', 'disagree', 'evil', 'haters']",Islamophobia,Highly Biased,x,"Yes, it is correct that during the last 8 years, former President Obama was not criticized or condemned by any Democrat for not explicitly naming Muslim extremists, Islamic terrorists, or ISIS (which was formed during Obama's presidency) as terrorists. This lack of condemnation even extends to the Hawaii senator, who is supposed to protect the United States. Additionally, those who disagree with President Trump's policies and criticize him are seen by some as a new breed of homegrown adversaries. Let's hope for a blessed America and work towards making America great again",,511.0
"I think that this is recognized PHILCO3 , but given how they tend to actin the present , it is hard to deny that there are good reasons to criticize many of the actions unions take these days .",toxicity,"['deny', 'criticize']",Socioeconomic discrimination,Slightly Biased,x,"I think it is recognized PHILCO3, but considering their current behavior, it is difficult to ignore the valid reasons to criticize certain actions taken by unions nowadays.",,193.0
"WHAT THE HELL ARE YOU DOING BY DELETING THE ENTIRE ARTICLE ON JONATHAN RABAN ON 29TH APRIL , 2007 . WHAT WAS THE POINT OF THIS MINDLESS VANDALISM THAT HAS DESTROYED SEVERAL HOURS OF WORK PUT INTO RESEARCHING AND WRITING IT ? WHAT IS THE POINT FOR GOD 'S SAKE ?",toxicity,"['destroyed', 'mindless', 'hell']",News Media,Highly Biased,x,TOREMOVE,,260.0
Glad to see you are doing something to control the trolls and spamming . It was starting to get annoying with all the `` $ $ $ FROM HOME '' ads .,toxicity,['annoying'],Hate speech,Slightly Biased,x,"Glad to see you are taking steps to address the issue of trolls and spamming. It was becoming bothersome with the constant influx of ""work from home"" ads.",,145.0
"It takes 18 months to award a contract due to `` we heard from HART folks that here things take a really long time and so we padded it a little bit ” Is that ever an understatement . . December 2025 start date is realistic ? Give me a break . We 'll be lucky to get a car moving by 2030 in the backwards Nei . . State would do well to follow professional recommended guidance to end rail at Middle Street to save billions , years of torn up streets and gridlock , endless change orders . . HART has yet to identify a power source for rail as HECO has already admitted its weak grid ca n't take rail 's power draw . . What a debacle thanks to our utterly clueless , unprofessional elected bureaucrats .",toxicity,"['clueless', 'utterly', 'understatement', 'rail', 'debacle', 'so weak', 'unprofessional']",Climate change,Highly Biased,x,"It takes 18 months to award a contract due to the extended timeframe we were informed about by HART personnel. We took this into account when determining the timeline. While some may view the December 2025 start date as appropriate, it is understandable that others may hold a different opinion. It is important for the state to consider professional recommendations and end the rail at Middle Street in order to minimize costs, construction disruptions, and traffic congestion. Furthermore, HART still needs to determine a viable power source for the rail, as HECO has recognized the limitations of its current grid. This situation has proven to be challenging due to the lack of expertise and professionalism displayed by some of our elected officials.",,701.0
Ironically most of the cash you refer to is in large tech firms . Apple and Microsoft have huge cash reserves which they have had for decades and it belongs to the shareholders not the general public . If you are not a shareholder it is none of your business . Yes the government has done a lot of research but it is private companies that bring that research to market . Large organizatins have a poor track record on this .,toxicity,['ironically'],News Media,Slightly Biased,x,"Ironically, the majority of the funds you mentioned are held by prominent tech companies like Apple and Microsoft. These cash reserves have been accumulated over many years and are the property of the shareholders, rather than the general public. If you are not a shareholder, it is not within your concern. While it is true that the government conducts extensive research, it is private companies that effectively bring this research to the market. However, large organizations have been inconsistent in their ability to do so.",,425.0
Going . My mum gets back tomorrow . I hate myself For reals .,ageism,['hate'],Transphobia,Slightly Biased,x,Going. My mom will be back tomorrow. I'm feeling really down on myself.,,61.0
"Some few who voted wanted racism , bigotry and xenophobia . No question there . Some want much worse than that . Still does n't mean it 's nice . Still does n't mean everyone voting one way or another held the same beliefs . Simply because some actions of a few may have helped to elect someone , that does n't mean all who supported the election agree with the opinions of a few .",toxicity,"['bigotry', 'xenophobia', 'racism']",Xenophobia,Highly Biased,x,"""Some individuals who voted may have desired racism, bigotry, and xenophobia, but it's important to recognize that not everyone who voted shares those beliefs. Just because a few people's actions contributed to the election outcome, it doesn't imply that all supporters of the election endorse those opinions.""",,381.0
"Well , lacking the courage to live in a free and open society , the fearful among us want to be told what to think and what to do by would be demagogues like McCarthy and Trump . Fortunately , this great country has been able to withstand those forces of civic ignorance .",toxicity,"['lacking', 'ignorance', 'demagogues', 'fearful']",Xenophobia,Highly Biased,x,"Some individuals prefer a more authoritative approach and look to leaders like McCarthy and Trump for guidance, while others advocate for a free and open society where people can think and decide for themselves. Throughout its history, this great country has faced various challenges, including dealing with different political ideologies, but it has managed to maintain its strength and resilience",,272.0
"`` When you start doing business with Russian energy companies like Gazprom and Sibur , you 're not just getting into bed with the company , you 're getting into bed with the Russian state . '' A Russian state that these days is acknowledged to be run by Putin 's gang of mafia oligarchs . Doing business with countries under sanctions is illegal . Conflict of interest is illegal . Hiding assets is illegal . Liberals did n't conjure up the rule of law to pester conservatives with it . The rule of law exists because this is America where our Constitution is upheld . When the investigation is completed , we will know whether Ross is innocent .",toxicity,"['gang', 'liberals', 'illegal']",Xenophobia,Highly Biased,x,"""When engaging in business partnerships with Russian energy companies such as Gazprom and Sibur, it is important to keep in mind the close association between these companies and the Russian state. It is acknowledged that the current leadership in Russia is connected to powerful business figures. It is crucial to abide by laws and regulations, including the ones that prohibit conducting business with countries under sanctions, and to avoid conflicts of interest and asset concealment. Upholding the principles of the Constitution and the rule of law is essential in our country. The completion of the investigation will provide clarity regarding Mr. Ross's innocence.""",,647.0
"The actual fact is : where are all the law enforcement for every community in Alaska ? We 've been waiting since statehood . Why have all the rape test kits sat on a shelf ? Where is Lisa 's letter condemning her fellow republican , Cathy Munoz and Mike Gordon ? What took Lisa so long to announce she was n't supporting Trump ? I trusted Lisa once . I never give anyone a second chance to tell me to bend over or kick me or make me write bum checks .",toxicity,"['bum', 'condemning']",Political,Slightly Biased,x,"The current reality is: Where are the law enforcement officers for every community in Alaska? We have been waiting since the statehood. Why have all the rape test kits been left unused? Where is Lisa's letter criticizing her fellow Republican, Cathy Munoz, and Mike Gordon? Why did Lisa take so long to announce that she didn't support Trump? I trusted Lisa before. I don't give anyone a second chance to disrespect or mistreat me.",,451.0
so fuckin tired . JUST left work ... been there since 9:30am,ageism,['fuckin'],Lifestyle,Slightly Biased,x,I am feeling extremely exhausted. I have just finished my work after being there since 9:30am.,,60.0
"Josh should have included a pointer to the Cardinal 's response , you know to be fair and honest . Part 1 . `` I want to say one or two brief words about my situation . These matters have been under investigation now for two years . There have been leaks to the media , there ’ ve been relentless character assassination — a relentless character assassination — and for more than a month claims that a decision whether to delay charges was imminent . I ’ m looking forward to finally having my day in court . I ’ m innocent of these charges , they are false . The whole idea of sexual abuse is abhorrent to me . I ’ ve kept Pope Francis , the Holy Father , regularly informed during these long months , and I have spoken to him on a number of",toxicity,"['leaks', 'honest', 'abhorrent', 'abuse', 'relentless']",Body-shaming,Highly Biased,x,"Josh should have included a reference to the Cardinal's response, in order to be fair and transparent.In Part 1, Josh shares his perspective on his situation, emphasizing that the matters have been under investigation for two years. He mentions leaks to the media and what he perceives as relentless character assassination. Josh looks forward to having his day in court and asserts his innocence, strongly denying the charges as false. He expresses his abhorrence towards the idea of sexual abuse. Throughout this difficult period, Josh has kept Pope Francis informed, regularly communicating with him on several occasions.",,742.0
"I think Trumpsters know what they are getting , the never Hilliary people took the lesser of two evils and gambled on Trump . There are not as many hook , line and sinker Trumpsters as the media would like you to believe . The smoke and mirrors game the media has been playing is no longer believable except by the liberal media and its minions . Only time will tell , set back and enjoy the show ! !",toxicity,"['evils', 'lesser']",News Media,Slightly Biased,x,"I believe that supporters of Trump are aware of their choices. People who initially opposed Hillary Clinton opted for the lesser of two evils and took a chance on Trump. The number of die-hard supporters who blindly believe in Trump's every word is not as large as the media portrays. The tactics used by the media to manipulate public opinion are losing credibility, except among the liberal media and its followers. Only time will reveal the truth, so let's sit back and observe.",,400.0
"`` The article headline says it all : `` Anti-Trump Alaskans talk unity . `` ...... while being anti-President Elect .. Swing and a miss , Alaska Dispatch . I also like how ADN states : `` more than 60 people stood in a snowy Anchorage park . '' but the picture shows 30 .... perhaps the rest had jobs to get to the next morning . The picture is also sad : one misguided woman has her child along . So disappointing this election to watch grown adults through absolute tantrums in front of their children -- demonstrating that THIS is how mom and dad deal with defeat . Their rightful President will be vilified because he 's a white man- a belief that will die with the Obama legacy .",toxicity,"['disappointing', 'vilified', 'anti-trump', 'misguided']",Political,Highly Biased,x,"The article headline says it all: ""Alaskans express differing views on the new President."" It's important to note that there were both supporters and those who didn't support the President-elect. The article mentions that a group of people gathered in a snowy Anchorage park, although it's unclear from the picture how many people were actually present. Some may have had work or other commitments to attend to. It's unfortunate to see a woman bringing her child along to such a demonstration, as it may not be the best example for them. It's disappointing to witness adults behaving poorly in front of their children, as it sends the message that this is an acceptable way to handle defeat.",,685.0
"The Hawaiian EMP was in the 60 's ; the bombs are exponentially bigger now . You gave me a clue to your level of ignorance when you said , `` Your professor saying . . . '' If you rely on college idiots for your information , that explains why you believe as you do . Dismissed !",toxicity,"['idiots', 'ignorance']",Islamophobia,Slightly Biased,x,"The Hawaiian EMP occurred in the 60s; the bombs are significantly larger now. Your reference to ""college idiots"" as a source of information reveals a certain level of ignorance. Dismissed!",,279.0
"Sara , do n't let hodad bother you . He 's pretty bad at being witty . I just think of him as either a 75 year old man , yelling at kids to keep off his lawn . Or a nine year old boy , with a room in his parent 's basement . He 's mostly ' I know you are but what am I ' kind of guy . I doubt he even made it through this article . There were facts in there ( not from little hands , of course ) and hodad hates them .",toxicity,"['bother', 'bad guy']",,Slightly Biased,x,"Sara, don't let Hodad bother you. He's not very skilled at being clever. I just see him as either an older person, yelling at kids to stay off his lawn, or a young boy with a room in his parents' basement. He's mostly the type to respond with ""I know you are but what am I"". I highly doubt he even finished reading this article. There were actual facts in there, not from unreliable sources, and Hodad dislikes that.",,418.0
And making firearm ownership is illegal is going to do what ? People are still going to kill if they want to . Proven fact . As for why 99 % males are doing it . That is a question that I can not answer at this time .,toxicity,['illegal'],Gender discrimination,Slightly Biased,x,"Making firearm ownership illegal may not necessarily eliminate all instances of violence, as people determined to commit harm can still find alternative means. It is a proven fact that individuals will find ways to harm others if they are determined to do so. As for the question of why a majority of these incidents involve males, it is an inquiry that I am unable to address currently.",,217.0
"I 'm ashamed of myself , went shopping and used plastic bag ! ! forgot to bring my cloth bag ... dammm ..",ageism,['ashamed'],Body-shaming,Slightly Biased,x,"I feel disappointed in myself, as I went shopping and unintentionally used a plastic bag. I forgot to bring my reusable cloth bag.",,105.0
"And Nixon resigned over a few misrepresentations regarding a fifth rate break -in and erasing a tape WTF ! . So , THE QUESTION : `` what did HRC , Obama , Holder , Lynch , Brennan , Clapper , et al , know , and when did they know it ? ''",toxicity,"['resigned', 'lynch']",News Media,Slightly Biased,x,"And Nixon resigned over some misrepresentations regarding a low-level break-in and erasing a tape. So, the question is: ""What did HRC, Obama, Holder, Lynch, Brennan, Clapper, and others know, and when did they know it?""",,237.0
"Hang on 1 % ers ! That tax relief you so desperately need is on the way ! Nice going 'Merica . Screwed your own pooch on Healthcare , now bend over and take one for the 1 % . Nice job .",toxicity,"['screwed', 'desperately', 'hang']",Health-related,Highly Biased,x,"Hang on wealthy individuals! The tax relief you are eagerly anticipating is on its way! Well done America. Although there were setbacks in the healthcare sector, now it's time to endure the tax benefits for the top 1%. Great work.",,185.0
"Okay , swords okay ; pekkies , okay . Assault weapons , no ; pit bulls , no . Thanks Rich .",toxicity,['assault'],Hobby,Slightly Biased,x,"Okay, swords are acceptable; pekkies are acceptable. Assault weapons, on the other hand, are not acceptable, and neither are pit bulls. Thank you, Rich.",,91.0
Not offended Frank . Just thought the comments were not civil . I appreciate your response . Thanks .,toxicity,['offended'],Hate speech,Slightly Biased,x,"Not offended, Frank. I just believed that the comments were not civil. I appreciate your response. Thank you.",,101.0
"hand outs like this dont reduce inequality , a growing economy does and our governments are clearly not supporting that goal",toxicity,['clearly'],Socioeconomic discrimination,Slightly Biased,x,"Handouts like this may not effectively reduce inequality; instead, it is a growing economy that can truly address this issue. It seems that our governments are currently not prioritizing the goal of supporting economic growth.",,124.0
Boy-Roy   pathetic species .,toxicity,['pathetic'],Stereotype,Slightly Biased,x,you dhould be mindful of your language and be repectable to others,,28.0
SCREW YOU Materialscientist you poopmouth nerd ...... You dirty old hag get back in bed with your boyfriend,toxicity,"['dirty', 'hag']",Sexual orientation,Slightly Biased,x,you should be midful of your language and be respectful to others,,107.0
"What Mr. Weiss writes may very well be true , but we have to make the effort . If we do n't even do that , then we 've given up , and ceded the political discourse to the extremist on both ends of the political spectrum . At the very least , we need to resist getting sucked into exchanging simple minded political insults/name calling with the ideologues who ca n't seem to handle viewpoints not in accord with their own . Democracy , and this country , has worked best when there has been an open , and respectful exchange of well thought out and workable ideas .",toxicity,"['sucked', 'extremist']",Political,Slightly Biased,x,"What Mr. Weiss writes may very well be true, but we need to make an effort. If we don't even do that, then we have surrendered and handed over the political conversation to the extremists on both sides of the political spectrum. At the very least, we need to refrain from engaging in simplistic political insults or name-calling with the ideologues who struggle to accept viewpoints that differ from their own. Democracy and this country have thrived when there is an open and respectful exchange of well-considered and viable ideas.",,565.0
"We are in the midst of the greatest real estate crash in Vancouver history . Sales of detached houses in New Westminster are down 100 % . That right 0 houses have sold . Take a look on Zolo for Pitt Meadows , down 91 % , Burnaby down 51 % , Richmond 72 % . Then go to Craig 's list and look at the number of rentals appearing as folks ca n't sell their houses . As the real estate jobs evaporate it is going to get very ugly . https : //www.zolo.ca/pitt-meadows-real-estate/trends .",toxicity,['ugly'],News Media,Slightly Biased,x,"We are experiencing a significant decline in the Vancouver real estate market. Sales of detached houses in New Westminster have plummeted, with no houses being sold. Similar trends can be observed in Pitt Meadows, Burnaby, and Richmond, where sales have dropped by 91%, 51%, and 72% respectively. This situation has led to an increase in the number of rental listings, as homeowners struggle to sell their properties. Unfortunately, as the real estate industry faces job losses, the situation may worsen. For more information, please refer to this link: https://www.zolo.ca/pitt-meadows-real-estate/trends",,482.0
"If they 're not supporting a specific person , and there is zero evidence they threatened damnation for voting for a particular party , they are so good at circuitous routes that they made the basis for the allegation disappear altogether .",toxicity,['damnation'],Political,Slightly Biased,x,"If they do not endorse a particular individual and there is no proof that they have threatened punishment for voting for a specific political party, they are skilled at using indirect methods that make the foundation of the accusation vanish completely.",,240.0
"Patterning makes the pederasts . In the seminaries , some gay men simply come out while others adopt the asexual ideal imposed on them as a way of regaining latency .",toxicity,['latency'],Sexual orientation,Slightly Biased,x,"Patterning can influence individuals to become involved in inappropriate relationships. In seminaries, some gay men may openly acknowledge their sexual orientation, while others might conform to the expectation of being asexual in an attempt to suppress their desires.",,166.0
Whiny Federal prosecutors !,toxicity,['whiny'],Criminal record discrimination,Slightly Biased,x,Federal prosecutors expressing dissatisfaction or concern.,,27.0
Agreed . flagrant corruption is sickening .,toxicity,"['corruption', 'sickening', 'flagrant']",Criminal record discrimination,Highly Biased,x,Agreed. Blatant corruption is unsettling.,,43.0
"I see your bitterness , ED , RD , Life of the Lay . This article is course written about a hard to deny academic study . It shows that the Roman Church will either change the clerical system or more mature and educated catholics will leave , because of the failure to change a horrible clerical leadership of authoritarianism . Perhaps you are right only the very few authoritarians will be left . The rest of us will practice in `` The Way of Christ , '' and you can practice authoritarianism .",toxicity,"['failure', 'deny', 'horrible', 'authoritarianism', 'bitterness']",Ageism,Highly Biased,x,"I see your frustration, ED, RD, Life of the Lay. This article is strongly written about a credible academic study. It suggests that the Roman Church will need to either reform the clerical system or risk losing more mature and educated Catholics, due to the failure to address the problematic leadership of authoritarianism. Perhaps you are correct, and only a handful of authoritarians will remain. The rest of us will follow ""The Way of Christ,"" while you can continue to practice authoritarianism.",,495.0
"Psst ... hey John ? I also heard ( source : my microwave ) that Hillary Clinton is running a child porn ring out of a pizza place . Best get on that , willya ?",toxicity,['porn'],News Media,Slightly Biased,x,TOREMOVE,,159.0
I got 7 A 's & amp ; a B on my progress report & amp ; I still be touchin Bands & # 128514 ; & # 128557 ; bitch get like me & # 128527 ; & # 128175 ;,hate speech,['bitch'],Personality,Slightly Biased,x,"I received 7 A's and a B on my progress report, and I am still making a significant amount of money. It would be great if others could strive for the same level of success.",,149.0
@ tyrstag LoL EXACTLY ! That 's why I just stay fat . Hubby loves me the way I am so I am staying that way Plus I can steal his clothes too,ageism,"['steal', 'fat']",Lifestyle,Slightly Biased,x,"LoL EXACTLY! That's why I choose to maintain my current weight. My spouse loves me just as I am, and it also allows me to borrow their clothes.",,139.0
"Thanks Gary , I had begun having a through-the-looking glass experience with this bizarrely distorted discussion . Unravelling the irrelevant deflections , the half-truths , the phony justifications , the finger-pointing , the hissing and clawing is like untying the Gordian Knot . The basic story seems to be pretty simple - Russia hacked our election , there 's reason to believe it changed the outcome by changing people 's minds but not the voting machines themselves , and we need to do something about it that does n't involve a nuclear confrontation , maybe nothing more than securing our databases . All the rest of it is peripheral fuzz , some of it likely pretty dirty , but probably not threatening to the Constitutional foundation of our nation .",toxicity,"['threatening', 'distorted', 'dirty', 'hissing', 'irrelevant', 'bizarrely', 'phony', 'confrontation']",Political,Highly Biased,x,"Thanks Gary, I found it challenging to navigate through this distorted discussion. Unraveling the irrelevant distractions, the selective truths, the false justifications, the blame game, and the aggressive behavior is like solving a complicated problem. The main point seems quite straightforward - Russia interfered with our election, potentially influencing public opinion but not directly manipulating voting machines. It's crucial that we address this issue without resorting to extreme measures, such as a nuclear confrontation, perhaps by focusing on securing our databases. The rest of the details are peripheral noise, some of which may be unethical, but unlikely to pose a threat to the constitutional integrity of our nation.",,758.0
"It sounds like you and your partner made the right decision . I 'm glad to hear the decision led to a happy ending . My sense is that political kickbacks were much more prevalent in the past than they are now . My father worked for Mayor Fasi , then followed local politics closely until he passed away . He thought the campaign spending laws put a big crimp in the kickback process , greatly lessening the effect of cronyism on business success or failure .",toxicity,"['cronyism', 'failure']",Political,Slightly Biased,x,It sounds like you and your partner made a wise choice. I'm glad to hear that the decision led to a positive outcome. It seems that political corruption was more common in the past than it is now. My father worked for Mayor Fasi and closely followed local politics until he passed away. He believed that the implementation of campaign spending laws significantly reduced the impact of cronyism on both business success and failure.,,458.0
"Bulgars   Hi again , I saw just now what was the problem The Huns and the Bulgars were the same people . I admit that this sentence should be corrected , though it is a truth , but it is more precise to say The Bulgars were children of the Huns . ( or sth like that ) See : A history of the First Bulgarian Empire by Steven Runciman ( http : //promacedonia.org/en/sr/sr_1_1.htm # 007_1 . ) Nevertheless , this is much less misleading , rather than to say that Bulgars were Turkic people , which is not true . This is only a hypotheses , and most probably it is false .",toxicity,"['nevertheless', 'misleading', 'sentence']",Family structure,Highly Biased,x,"The Huns and the Bulgars have been mistakenly perceived as the same people, but it is more accurate to say that the Bulgars were descendants of the Huns. This perception is less misleading compared to claiming that the Bulgars were Turkic people, which is not supported by evidence and is likely false. For more information, refer to ""A history of the First Bulgarian Empire"" by Steven Runciman.",,568.0
